Date,Type,Description,Amount
2024-04-12,Dining,This is it,1000
2024-04-17,Dining,Snacks from Zepto,150
2024-04-17,Dining,Fried rice tea and water,200
2024-04-18,Dining,Biryani at Shah Ghouse,300
2024-04-18,Entertainment,Cricket,500
2024-04-19,Dining,Tea biscuits goli soda,80
2024-04-19,Dining,Sugar Cane Juice,25
2024-04-21,Shopping,Car charger,1200
2024-04-21,Dining,Funnel Hill Creamery,799
2024-04-23,Personal Care,Tablets for cold and mouth,34
2024-04-23,Dining,Mirchi and Samosa,50
2024-04-23,Dining,Tirupati ladoo from Samar,100
2024-04-24,Shopping,Silver Drip on Amazon,1324
2024-04-24,Dining,Royal bakery,120
2024-04-24,Dining,Water + Cake,80
2024-04-24,Dining,Water,20
2024-04-25,Dining,Prince Hotel,400
2024-04-25,Dining,Suprabhat hotel tiffins,150
2024-04-25,Subscriptions,Mobile recharge for Mom,1752
2024-04-25,Dining,Coffee and snacks,200
2024-04-25,Dining,Lunch at office,150
2024-04-25,Dining,Evening snacks,100
2024-04-25,Entertainment,Movie tickets,562
2024-04-25,Travel,Uber ride,2625
